Sample Number,Juice/Wine,Skin colour,Flesh colour,Catechin,Epicatechin,Caftaric-acid,Caffeic-acid,Malv-Glu,Total Flavan-3-ols,Total Hydroxycinnamic acids,Total Flavonols,Total anthocyanins,Total Phenolics
85,AF,green,green,0,0,0,0,0,"379,011831230576","4,20219673604903","3,26221392746363",0,"386,476241894088"
85,BF,green,green,"30,8594193119953","11,91912599225",0,0,0,"296,299775320377","7,89953960366506","6,33317604487868",0,"310,532490968921"
86,BF,red,red,"306,04937865383","232,794972213783","3,79777779603654","18,8822596001559","647,881178452038","1581,73167547505","80,1114856860435","84,1579291063975","1159,68846045263","2905,68955072012"
86,AF,red,red,"19,3038977430074","25,998861949662","3,34486979897983","9,37828777506451","323,819790003664","898,385895178407","21,7878628406365","45,7679361805222","439,18996050891","1405,13165470848"
87,BF,red,red,"185,130248824611","136,790756130912",0,"8,07168872765071","417,020964652725","1134,83470706843","60,7623624046003","79,2727603848818","841,752434563379","2116,62226442129"
87,AF,red,red,"14,4926184022819","65,5242786697984",0,0,"205,35401435534","919,075245183064","7,5525555939876","21,5238579841396","311,252311331415","1259,40397009261"
89,AF,red,red,"31,189804806955","25,8113399323615","6,04824187973292",0,"189,674785665223","667,841223495931","19,1436325602189","36,1763855857174","283,096288391376","1006,25753003324"
89,BF,red,red,"236,362698727691","188,300498173663","7,57150086677677","9,04699122405975","430,5662668835","1557,32911528123","78,4612601926711","74,4941810701334","876,014427630499","2586,29898417453"
91,BF,red,green,"112,323599943803","116,437071547164",0,"17,6090165218411","391,264127977067","1639,5579669151","51,7287793734979","120,79613498927","628,669281611809","2440,75216288967"
91,AF,red,green,"10,9005917410617","4,20150798749205","3,46292531701538",0,"139,167132138526","606,288092744211","8,56305865423481","48,0249698826877","172,457720124909","835,333841406042"
94,AF,red,green,"18,1259979751507",0,"2,64657569468204",0,"136,856471411712","689,311469031814","4,59068260267061","42,9504161185895","172,092584241296","908,94515199437"
94,BF,red,green,"81,8050242769104","79,7579907482546","4,02423224406856","9,27631117613999","327,801470269283","1710,3573974385","32,0619058928406","85,4077005071699","482,49637880545","2310,32338264396"
97,BF,red,green,"102,040131297885","33,430441838079","2,93833319559693","7,74103153810127","205,383393601107","960,658100556073","34,9585946268771","42,6304925842283","314,865930514442","1353,11311828162"
97,AF,red,green,"19,7141511195922","13,0575362815118",0,0,"73,5144437171847","608,673926119441","2,8273121909629","10,1741683309855","93,7777467076064","715,453153348995"
100,AF,red,green,"9,24334988029269","13,8204392696141",0,"3,70682637670785","88,2979806436118","657,359209697394","3,70682637670785","14,9710710310095","102,579465784576","778,616572889688"
100,BF,red,green,"203,951146143164","23,3113901507172",0,"13,6802589685386","162,42880400137","848,018247268519","24,0560039539808","35,7566691712133","213,626363370451","1121,45728376416"
101,BF,red,green,"83,2051006888214","25,3409344721921",0,"3,5008093053787","59,2947713019767","414,911904526318","3,5008093053787","22,0753748254975","70,1960748729392","510,684163530133"
101,AF,red,green,"27,3185011457477","20,253260238317","1,11666311277267",0,"31,9429231798857","452,050031198082","1,11666311277267","10,7495867375188","34,3084307468739","498,224711795248"
104,AF,red,green,0,0,0,0,"29,4125472926715","333,389249852506",0,"4,66911716086869","31,5662953339281","369,624662347303"
104,BF,red,green,"91,0485832187861",0,0,"3,45224107251623","52,0928945905883","309,681043169426","6,12686270372778","10,6022234593938","62,5248900021539","388,935019334702"
105,AF,red,green,"17,4024309936309","9,23429218185886","1,1469875116165",0,"47,9765012463082","456,749244633142","7,32312333884409","12,0663642050223","57,5413808474172","533,680113024425"
105,BF,red,green,"246,410240489745","53,9390959192938","3,87140269316641","20,6469991140358","149,271585105391","1364,89231275475","52,4686742668334","37,8963238706948","242,968080172608","1698,22539106488"
106,BF,green,green,"12,0783779969655","3,36589906973036",0,"4,14963310493108",0,"284,276942554936","9,1765508990751","2,83951545611986",0,"296,293008910131"
106,AF,green,green,"2,77757460742679","3,75970529711256",0,0,0,"315,784906465592",0,0,0,"315,784906465592"
110,AF,red,green,"20,2324342252155","15,3999758958359",0,0,"73,7347584544682","432,807851172641","2,62700102514806","17,0566414360631","92,0295403756724","544,521034009524"
110,BF,red,green,"3,86809697861583","29,0269176718278","2,31563038341318","7,46368591434581","119,597601723807","440,2133873338","23,2323831298794","33,8834241084097","184,342499224976","681,671693797066"
111,BF,red,red,"309,616083568317","371,937624700297","8,2190706475389","27,5158708951176","870,024952847697","1804,31271914053","114,668461557331","91,9928233356302","1779,11639129841","3790,0903953319"
111,AF,red,red,"20,7638286127165","34,8935013481918","6,09743565385701","8,44259659356051","542,694861092811","756,615580889473","36,7834892194629","57,9291149776795","831,892966169316","1683,22115125593"
114,AF,red,red,"31,0750583598418","30,7216350646419","3,16038563817405","2,79041126693746","461,598398012277","645,023621001719","20,4042936415381","42,2486472156195","637,293951450874","1344,97051330975"
114,BF,red,red,"199,040894944745","218,247379757227","3,42491699286841","24,030636792814","677,898076925705","1406,9976250447","83,023034702788","121,825788799008","1102,02536833819","2713,87181688469"
115,BF,red,green,"141,351400711714","25,0727113594634",0,"7,51495404512231","227,29442243734","626,26949251391","9,97858050358085","26,000451056169","307,999314829119","970,247838902779"
115,AF,red,green,"11,3053796207805",0,0,0,"126,994473988672","405,871791074062",0,"19,681542840332","157,545860777799","583,099194692193"
116,BF,green,green,"18,9581508434176","22,0017942592972",0,"1,26970344766885",0,"344,944015356233","1,26970344766885","6,3898536057466",0,"352,603572409648"
116,AF,green,green,"25,7802830719741","14,7267768959222",0,0,0,"345,930679300939",0,"2,45576737547143",0,"348,386446676411"
118,AF,red,red,"35,8205571942914","84,1434809815861",0,0,"347,699017940468","1128,57557423315","24,9441096000276","68,7771987514666","569,56785916516","1791,86474174981"
118,BF,red,red,"62,7971543092762","270,979644686252","6,84691109799135","2,19498450057947","741,529767916644","2700,45710549492","59,2602497584013","95,6048353513392","1373,33476165585","4228,65695226051"
122,AF,red,green,"8,88579586013955","5,37142133858258","3,12227524830344",0,"130,30385333688","576,929228246184","4,6189070464806","20,3489014674255","166,447919368655","768,344956128745"
122,BF,red,green,"9,55396616784386","39,9473174667554","4,56649075096944","3,16887649429129","249,442083161121","1063,14519096624","24,4092343625783","35,0891278283202","380,882621234599","1503,52617439173"
126,AF,red,green,"5,09902199391035",0,"2,85112020904887",0,"77,4351657323575","664,751231532225","2,85112020904887","17,0777967702824","91,2792947324329","775,959443243989"
126,BF,red,green,"156,232273373865","42,558022053354",0,"27,7788740795642","275,864565223812","1290,81601262755","47,8031248927989","56,0220550621015","373,886416056567","1768,52760863902"
127,AF,green,green,"26,7830572137557","10,5917588771564",0,0,0,"595,853195509327",0,"6,51539899093343",0,"602,36859450026"
127,BF,green,green,"26,055798697269","14,4204376545999",0,0,0,"759,535728107121",0,"9,04747618985998",0,"768,583204296981"
129,BF,green,green,"179,53524230741","10,5715478838713",0,"0,896233504443691",0,"423,186427749607","0,896233504443691","10,688047363992",0,"434,770708618043"
129,AF,green,green,0,0,"2,1810664257255",0,0,"303,732938462992","2,1810664257255","4,55755978744982",0,"310,471564676167"
130,AF,red,red,"20,4466408795714","54,7001215760408","7,51578922334593",0,"215,602078432162","982,852542990966","15,3148666565235","40,3663671486403","289,165789113719","1327,69956590985"
130,BF,red,red,"310,918162578544","197,263192282728","10,2735710541857","2,97348645247535","522,112660178191","1991,65637099363","68,641791243809","66,213297088614","1006,07433879597","3132,58579812203"
141,AF,red,red,"73,0837027074111","101,136476662056","4,8548036797283",0,"334,445060217017","982,903637891674","25,6804341201742","64,4118207443473","486,160200252707","1559,1560930089"
141,BF,red,red,"39,5924531617979","165,250841835352","6,07554213212623",0,"450,200622801359","1433,87923316087","45,4454094596684","89,5696556377109","746,374901924663","2315,26920018291"
