Sample AF(wine),Skin colour,Flesh colour,pH,Citric acid,Tartaric acid,Malic acid,Succinic acid,Lactic acid,Acetic acid,Glucose,Fructose,Glycerol,Methanol,Ethanol,%Alcohol,%ABV,Av %Alcohol,Total acid,Total Sugars,Total Alcohols
149,red,green,"3,19","0,0883422843430912","3,27708927796899","3,22488615376429","1,81468629020097","0,554224589947095",0,0,"0,130454828932531","7,28397145132629",0,"71,7500268352706","9,04792267783992","9,0910276766599","9,06947517724991","8,95922859622443","0,130454828932531","79,0339982865969"
151,red,red,"3,25","0,256851121243114","3,3669966104812","3,91644333215357","2,63480073979132","0,435820165634146",0,0,"0,208809048684917","7,23582400864901",0,"72,1411901017249","9,09724969756934","9,14058969410127","9,1189196958353","10,6109119693034","0,208809048684917","79,3770141103739"
154,red,red,"3,11","0,473166832222013","4,03182488508711","5,53066640440099","5,17313208822943","0,690511019417854",0,0,"1,02342924161302","8,15753879742229",0,"78,4862920583399","9,89738865805043","9,9445405780675","9,92096461805896","15,8993012293574","1,02342924161302","86,6438308557622"
157,green,green,"3,23","0,126597593627418","2,18020023738572","3,86676293345029","3,6280726249727","0,423664899475238",0,0,"0,0756449997689974","8,14881636652267",0,"79,4007327877839","10,0127027475137","10,060404032713","10,0365533901134","10,2252982889114","0,0756449997689974","87,5495491543066"
166,red,green,"3,28","0,165227209044028","1,6961408554188","3,78773627071337","6,08465477794089","0,498801122249958",0,0,"0,196221770314256","9,01122800686069","0,635067614727787","83,6642711698102","10,5503494539483","10,6006121293662","10,5754807916573","12,232560235367","0,196221770314256","93,3105667913986"
168,red,red,"3,29","0,247848028563785","2,50395080080372","3,66265982986291","8,24984990626179","0,397860036953334",0,0,"0,215470133788268","7,55540470879539",0,"79,8751611115851","10,0725297744748","10,1205160802272","10,096522927351","15,0621686024455","0,215470133788268","87,4305658203805"
172,red,green,"3,46","0,159940027579534","0,785076452644749","4,80367197462233","6,23539249857952","0,419071931235904",0,0,0,"8,64419370287242","0,816871146180449","85,3980895364028","10,7689898532664","10,8202941483456","10,794642000806","12,403152884662",0,"94,8591543854557"
176,red,red,"3,43","0,205373112243243","2,65564101599624","4,25720973636536","2,54232975276215","0,49869430648393",0,0,0,"7,64153628207379","0,686198000213903","77,5716936583718","9,7820546857972","9,82865714590895","9,80535591585307","10,1592479238509",0,"85,8994279406595"
179,green,green,"3,12","0,233452129893003","1,91180370304304","3,69153058764921","4,35624088553424","0,578027538001593",0,0,"0,532687800141744","9,2370684567309","5,23373526427975","100,382588831521","12,6585862334831","12,7188927109017","12,6887394721924","10,7710548441211","0,532687800141744","114,853392552532"
183,green,green,"3,2","0,0623044948977978","2,70751503898611","1,88776892963756","4,20807357366076","0,546022914808712",0,0,"2,73494425086599","9,5645645670981","0,818261646493616","96,0169126486807","12,1080596026079","12,1657433288582","12,1369014657331","9,41168495199093","2,73494425086599","106,399738862272"
184,red,green,"3,22","0,135836708982902","2,92254552146852","2,15905208383724","3,87084447055731","0,467002347778903",0,0,"1,49884996928271","8,99283731741391",0,"94,9223184284555","11,9700275445719","12,0270536754923","11,9985406100321","9,55528113262487","1,49884996928271","103,915155745869"
197,red,green,"3,16","0,0909256689853529","3,67657342653957","2,9059907924521","3,81984877660262","0,409221460921378",0,0,"0,156429115899388","7,85873439679868",0,"72,244292919496","9,11025131393392","9,15365325116517","9,13195228254955","10,902560125501","0,156429115899388","80,1030273162947"
201,red,red,"3,36","0,206439616843906","2,22188780005605","4,84921775302481","7,10434234689027","0,445695311232497",0,0,"0,80620412074641","7,60800292099077",0,"74,0966299036664","9,34383731445982","9,38835207334479","9,3660946939023","14,8275828280475","0,80620412074641","81,7046328246572"
205,red,red,"3,42","0,232230533492121","3,08963842501637","4,7230542530068","5,09929804824828","0,469989283409747",0,0,"0,362582122272032","8,49475087511866","1,18727455647717","94,17268334423","11,8754960080996","11,9320717835171","11,9037838958083","13,6142105431733","0,362582122272032","103,854708775826"
208,red,green,"3,19","0,205058524697257","2,07743548742071","6,42163697142382","7,32258536919613","0,368610621551742",0,0,"0,40030417266739","8,33761247995007",0,"73,6785796206668","9,29111975039934","9,33538335875865","9,31325155457899","16,3953269742897","0,40030417266739","82,0161921006168"
212,green,green,"3,47","0,157715577673851","0,873734988045614","4,32449301676238","2,56012741463686","0,585552463306049",0,0,"0,300890426985013","10,4227813325497","1,18862146546334","101,69400475998","12,8239602471602","12,8850545790862","12,8545074131232","8,50162346042475","0,300890426985013","113,305407557993"
214,red,red,"3,26","0,24223816691014","5,05217381448836","5,77017104434199","5,13886771096873","0,429773513133728",0,0,"0,741402002367115","8,20638918665469",0,"83,8951720015403","10,5794668349988","10,6298682278572","10,604667531428","16,6332242498429","0,741402002367115","92,101561188195"
215,red,red,"3,21","0,419461283060281","5,32394702630276","5,5133147792761","12,4629983312664","0,501470422172317",0,0,"0,584771863847853","9,00882993226109",0,"102,128240640392","12,8787188701629","12,9400740763762","12,9093964732695","24,2211918420779","0,584771863847853","111,137070572653"
