Sample BF (must),Skin colour,Flesh colour,pH,Citric acid,Tartaric acid,Malic acid,Succinic acid,Lactic acid,Acetic acid,Glucose,Fructose,Glycerol,Methanol,Ethanol,%Alcohol,%ABV,Av %Alcohol,Total acid,Total Sugars,Total Alcohols
106,green,green,"3,41","0,304810768239536","2,20590377605072","8,92786903778633","8,64323578759394",0,"0,221919997193459","62,1316535838264","62,2276412823543","3,5503876181713","2,22132808424639","22,2903022633774","2,81088300925315","2,82427427187895","2,81757864056605","20,303739366864","124,359294866181","28,0620179657951"
110,red,green,"3,28","0,259633069274761","2,05740395174747","9,1996989038866","7,43790480581275",0,"0,189866718476859","57,4681019884821","60,8410711684525","3,21879797866306",0,"22,6538344022814","2,85672564972023","2,87033531020747","2,86353047996385","19,1445074491984","118,309173156935","25,8726323809445"
111,red,red,"3,22","0,481392014997163","3,25721314568216","6,93831055904681","6,90073434583515",0,0,"64,2179293794831","69,7513605535144","0,412414465029851","0,657242828657251","1,5183165680684","0,191464888785423","0,192377042226497","0,19192096550596","17,5776500655613","133,969289932998","2,25935244742688"
114,red,red,"3,19","0,331080367469573","4,45024051987835","6,97820896584525","6,74523043818577",0,"0,321465361244335","60,7277992305893","66,1160691669053","0,408309982262465",0,"1,25944863308913","0,15882076079308","0,159577395100239","0,15919907794666","18,8262256526233","126,843868397495","1,66775861535159"
115,red,green,"3,17","0,21249805351189","3,0343539322334","5,11635588902479","9,29783843148591",0,0,"80,6659565439559","82,9817275467688","0,551435393156145",0,"2,16388749852869","0,272873581151158","0,27417357185757","0,273523576504364","17,661046306256","163,647684090725","2,71532289168483"
116,green,green,"3,19","0,285897771323972","2,07443210009146","9,70184094352145","3,51596919005863",0,"0,201450016911061","65,4191177659963","63,5224617884718","2,90001841484036","3,08332975340202","18,083147902251","2,28034651982989","2,29121026585716","2,28577839284353","15,678865013451","128,941579554468","22,5248311937924"
118,red,red,"3,31","0,300245188591705","4,61291087170961","7,28446086927129","7,76276687236726",0,"0,241431037456562","58,0114200679025","68,6821870292564","3,17831355740908",0,"16,3594458926434","2,06298182757168","2,07281003150416","2,06789592953792","20,2018148393964","126,693607097159","19,5377594500525"
122,red,green,"3,53","0,201367359491718","3,00991517743384","8,73049432673495","4,63519847268573",0,"0,206684328014607","74,8387277390531","75,8156595433976","2,61029844988802",0,"16,5572508137574","2,08792570160875","2,09787274007367","2,09289922084121","16,7836596643609","150,654387282451","19,7765966689275"
126,red,green,"3,38","0,285910295568594","5,99179795608892","3,77506216884552","1,85314098403984",0,"0,330499940960391","91,9428664513452","91,1082326997831","2,15741902118648",0,"8,74465371623281","1,10273060734336","1,10798410068329","1,10535735401332","12,2364113455033","183,051099151128","10,9020727374193"
127,green,green,"3,15","0,196570668914092","2,90950655071344","6,07714055783378","1,45513040921999",0,0,"42,1114590285227","43,6311881846892","0,708613807491102",0,"3,32902526712831","0,419801420823242","0,421801387046819","0,420801403935031","10,6383481866813","85,7426472132119","4,03763907461941"
